X1,gene,entrez_id,ensembl_id,subclass,pct.1,pct.2,avg_log2FC,roc_avg_diff,roc_myAUC,roc_power,MAST_p_val,MAST_p_val_adj,dup_gene,avg_expr,avg_expr_ratio
3,A2M,2,ENSG00000175899,Endothelial,0.943,0.447,5.26724457098542,3.65097572369822,0.943,0.886,7.44397780847363e-88,3.74290648187863e-83,FALSE,7.032497519758844,1.1807324916005904
4,A2M,2,ENSG00000175899,Microglia,0.881,0.441,5.1412589715885,3.56364916068509,0.883,0.766,0,0,FALSE,NA,NA
5,A2M,2,ENSG00000175899,Pericyte,0.531,0.448,3.93515859221208,2.72764408324805,0.643,0.286,2.81667935602085e-14,1.41625454700084e-9,FALSE,NA,NA
6,A2ML1,144568,ENSG00000166535,Astrocyte,0.575,0.443,2.1429757867917,1.48539762462289,0.596,0.192,3.86418389362458e-47,1.9429503035533698e-42,FALSE,1.5371277732386321,1.2924979488693442
10,AAMDC,28971,ENSG00000087884,Oligodendrocyte,0.359,0.448,1.60888686103272,1.11519539156477,0.469,0.0620000000000001,1.52481287179054e-35,7.66691160065001e-31,FALSE,NA,NA
11,AARD,441376,ENSG00000205002,LAMP5,0.373,0.054,3.18986891839357,2.21104864714031,0.665,0.33,0,0,FALSE,1.275138914070035,1.326123275834986
14,AASS,10157,ENSG00000008311,VLMC,0.545,0.201,3.10704025486595,2.15363619254659,0.708,0.416,0.00102818766465672,1,FALSE,NA,NA
15,AASS,10157,ENSG00000008311,Oligodendrocyte,0.544,0.186,3.33534671211827,2.31188616969467,0.705,0.41,0,0,FALSE,NA,NA
16,AASS,10157,ENSG00000008311,Astrocyte,0.799,0.185,3.91224095483996,2.71175878751847,0.854,0.708,0,0,FALSE,3.993404298607071,1.4160405639247973
17,AASS,10157,ENSG00000008311,OPC,0.618,0.194,3.03785910720901,2.10568347510028,0.737,0.474,1.9040655916532e-198,9.57383220139144e-194,FALSE,NA,NA
18,AATF,26574,"ENSG00000276072, ENSG00000275700",VLMC,0.545,0.485,2.31813850659025,1.60681116999047,0.549,0.0980000000000001,NA,NA,FALSE,1.876290930168848,1.0792830566106313
19,AATK,9625,ENSG00000181409,Oligodendrocyte,0.581,0.54,2.30005647215097,1.59427765880009,0.594,0.188,3.08400170894923e-240,1.55066689927676e-235,FALSE,2.1768916036916606,1.0989398910088166
20,ABCA1,19,ENSG00000165029,VLMC,0.818,0.422,4.97983767938983,3.45176044711524,0.812,0.624,1.43879152810552e-7,0.00723438768246738,FALSE,4.127940559226721,1.672963048580946
21,ABCA1,19,ENSG00000165029,Astrocyte,0.681,0.416,2.84470754697811,1.97180101570547,0.696,0.392,2.29904452885186e-204,1.155982579552e-199,FALSE,NA,NA
22,ABCA1,19,ENSG00000165029,OPC,0.538,0.42,2.20689983031113,1.52970639515838,0.588,0.176,2.08788377653518e-37,1.04980884167965e-32,FALSE,NA,NA
23,ABCA10,10349,ENSG00000154263,VLMC,1,0.745,4.23452648672823,2.93515009528208,0.998,0.996,5.10845142729291e-12,2.56858046215715e-7,FALSE,7.239315700151844,1.6613966813254353
24,ABCA12,26154,ENSG00000144452,L6b,0.448,0.249,1.75179807491015,1.21425389653431,0.622,0.244,4.23626060309392e-111,2.13003419384165e-106,FALSE,1.1971385062557036,1.2750650007701647
25,ABCA12,26154,ENSG00000144452,L5/6 NP,0.379,0.251,1.57765067410244,1.0935441166626,0.579,0.158,2.16815873213411e-44,1.09017189210435e-39,FALSE,NA,NA
28,ABCA2,20,ENSG00000107331,Oligodendrocyte,0.951,0.533,4.50632570421979,3.12354695656477,0.922,0.844,0,0,FALSE,5.036367899552388,2.8972119663321227
30,ABCA4,24,ENSG00000198691,VLMC,0.636,0.124,6.32222177813799,4.38223020039103,0.791,0.582,5.75022136072234e-12,2.8912688023848e-7,FALSE,3.621590398693691,4.962476895644657
31,ABCA6,23460,ENSG00000154262,VLMC,1,0.592,4.3974976901867,3.04811312547178,0.962,0.924,3.10650173070594e-10,1.56198013521625e-5,FALSE,6.331571153525978,1.7663079344308485
32,ABCA8,10351,ENSG00000141338,VLMC,1,0.167,6.02699852410756,4.1775970342241,0.992,0.984,2.97194601498707e-21,1.49432417579565e-16,TRUE,7.212562740037121,1.4524800474515323
33,ABCA8,10351,ENSG00000141338,Oligodendrocyte,0.853,0.138,7.94142202296141,5.50457428485236,0.913,0.826,0,0,TRUE,NA,NA
34,ABCA9,10350,ENSG00000154258,VLMC,1,0.631,5.57170942717618,3.86201468034643,1,1,3.10070426690215e-19,1.55906511244107e-14,FALSE,7.7456452838159775,2.196269722740494
35,ABCA9,10350,ENSG00000154258,Pericyte,0.469,0.631,2.39435756884627,1.65964219809815,0.464,0.072,0.00900560073461509,1,FALSE,NA,NA
36,ABCB1,5243,ENSG00000085563,Endothelial,0.943,0.226,8.54638893211765,5.92390539226608,0.964,0.928,2.56845976124573e-231,1.29144725255197e-226,TRUE,7.125972452355305,4.232079395429142
37,ABCB1,5243,ENSG00000085563,L6 CT,0.525,0.21,2.01731755758032,1.39829797733087,0.686,0.372,0,0,TRUE,NA,NA
38,ABCB11,8647,"ENSG00000276582, ENSG00000073734",L5 ET,0.43,0.056,3.60486066538536,2.49869900652331,0.696,0.392,1.20481480457739e-75,6.05792931889558e-71,FALSE,1.4131903655398048,3.3407698877513305
40,ABCB5,340273,ENSG00000004846,PAX6,0.606,0.253,4.05495982558049,2.81068397038497,0.723,0.446,1.35593551559474e-267,6.81777936596191e-263,FALSE,1.8894384551721624,2.8942047879453106
43,ABCC12,94160,ENSG00000140798,L5 ET,0.576,0.17,1.96072404347568,1.35907034259127,0.716,0.432,2.72743639800509e-34,1.37138229528094e-29,FALSE,2.1388300618105127,2.0378818638519807
46,ABCC3,8714,ENSG00000108846,L5/6 IT Car3,0.81,0.244,4.35006994446087,3.01523871724162,0.86,0.72,0,0,FALSE,3.303856209962499,4.997014223295901
47,ABCC4,10257,ENSG00000125257,Microglia,0.9,0.613,5.86881953656662,4.06795571498627,0.875,0.75,0,0,FALSE,5.112012700113076,2.695358329101816
48,ABCC4,10257,ENSG00000125257,Endothelial,0.557,0.617,1.83390933253835,1.27116908325153,0.507,0.014,4.31854935765997e-4,1,FALSE,NA,NA
49,ABCC9,10060,ENSG00000069431,L6 CT,0.819,0.303,2.28871194416367,1.58641423121092,0.822,0.644,0,0,FALSE,NA,NA
50,ABCC9,10060,ENSG00000069431,Pericyte,0.625,0.331,4.89052279619476,3.38985208764654,0.717,0.434,6.05641144125836e-15,3.04522423677912e-10,FALSE,3.272027174156149,1.0898329829222386
51,ABCC9,10060,ENSG00000069431,L5/6 NP,0.733,0.324,2.54894018672449,1.76679070384402,0.765,0.53,4.83405405547028e-231,2.43061071963101e-226,FALSE,NA,NA
52,ABCC9,10060,ENSG00000069431,Astrocyte,0.469,0.328,2.51836490959168,1.74559753670458,0.6,0.2,1.02271805720215e-84,5.14232866341812e-80,FALSE,NA,NA
53,ABCD2,225,ENSG00000173208,Astrocyte,0.602,0.531,1.88293165417971,1.30514876728174,0.592,0.184,2.13012775381978e-54,1.07104953589812e-49,FALSE,NA,NA
54,ABCD3,5825,ENSG00000117528,VLMC,0.727,0.603,2.19980761790293,1.5247904481237,0.644,0.288,NA,NA,FALSE,3.2407084729793567,1.0871807357692553
55,ABCG1,9619,ENSG00000160179,Oligodendrocyte,0.497,0.378,2.66301362540925,1.84586038624514,0.593,0.186,5.9589850575263e-120,2.9962372767748e-115,FALSE,1.9741777221511176,1.2542115597088301
56,ABCG1,9619,ENSG00000160179,OPC,0.42,0.382,1.62010855753371,1.12297367885553,0.539,0.0780000000000001,4.41660650966124e-16,2.22071391912277e-11,FALSE,NA,NA
57,ABCG2,9429,ENSG00000118777,Endothelial,0.957,0.437,8.85730498477448,6.13941597755598,0.967,0.934,0,0,FALSE,6.611009620897058,6.081023197813008
